ICAO,IATA,Nome_Aeroporto,Cidade
SBQR,,Fazenda Arena de Aço Airport,Buritizeiro
SBQS,,Santa Rosa Airstrip,Campo Verde
SBQT,,Fazenda Campo Formoso Airstrip,Tesouro
SBQU,,Hungaro Helipark,Araguaína
SBQW,,Paíto Motors Helipad,Araras
SBQX,,Fazenda São Carlos Airstrip,Campo Novo do Parecis
SBQY,,LDB - Itapevi Heliport,Itapevi
SBQZ,,Fazenda Mariane Heliport,Brotas
SBRB,RBR,Rio Branco-Plácido de Castro International Airport,Rio Branco
SBRC,,Petrobras P-52 Platform Helideck,Macaé
SBRD,ROO,Maestro Marinho Franco Airport,Rondonópolis
SBRF,REC,Recife/Guararapes - Gilberto Freyre International Airport,Recife
SBRJ,SDU,Santos Dumont Airport,Rio de Janeiro
SBRP,RAO,Leite Lopes Airport,Ribeirão Preto
SBRR,BRB,Barreirinhas National Airport,Barreirinhas
SBSC,SNZ,Santa Cruz Air Force Base,Rio de Janeiro
SBSG,NAT,São Gonçalo do Amarante - Governador Aluízio Alves International Airport,Natal
SBSI,OPS,Presidente João Batista Figueiredo Airport,Sinop
SBSJ,SJK,Professor Urbano Ernesto Stumpf Airport,São José Dos Campos
SBSL,SLZ,Marechal Cunha Machado International Airport,São Luís
SBSM,RIA,Santa Maria Airport,Santa Maria
SBSN,STM,Santarém - Maestro Wilson Fonseca International Airport,Santarém
SBSO,SMT,Adolino Bedin Regional Airport,Sorriso
SBSP,CGH,Congonhas Airport,São Paulo
SBSR,SJP,Prof. Eribelto Manoel Reino State Airport,São José do Rio Preto
SBST,SSZ,Santos Nero Moura Air Base / Guarujá Airport,Guarujá
SBSV,SSA,Deputado Luiz Eduardo Magalhães International Airport,Salvador
SBTA,,Base de Aviação de Taubaté,Taubaté
SBTB,TMT,Trombetas Airport,Oriximiná
SBTC,UNA,Una-Comandatuba Airport,Una
SBTD,TOW,Toledo - Luiz Dalcanale Filho Municipal Airport,Toledo
SBTE,THE,Senador Petrônio Portela Airport,Teresina
SBTF,TFF,Tefé Airport,Tefé
SBTG,TJL,Plínio Alarcom Airport,Três Lagoas
SBTK,TRQ,Tarauacá Airport,Tarauacá
SBTL,TEC,Telêmaco Borba Airport,Telêmaco Borba
SBTR,TSQ,Torres Airport,Torres
SBTS,,Tiriós Airport,Aldeia Tiriós
SBTT,TBT,Tabatinga Airport,Tabatinga
SBTU,TUR,Tucuruí Airport,Tucuruí
SBTV,,Terravista Airport,Porto Seguro
SBUA,SJL,São Gabriel da Cachoeira Airport,São Gabriel da Cachoeira
SBUF,PAV,Paulo Afonso Airport,Paulo Afonso
SBUG,URG,Rubem Berta Airport,Uruguaiana
SBUL,UDI,Ten. Cel. Aviador César Bombonato Airport,Uberlândia
SBUR,UBA,Mário de Almeida Franco Airport,Uberaba
SBUY,RPU,Urucu Airport,Urucu
SBVG,VAG,Major Brigadeiro Trompowsky Airport,Varginha
SBVH,BVH,Brigadeiro Camarão Airport,Vilhena
SBVT,VIX,Eurico de Aguiar Salles Airport,Vitória
SBYA,,Iauaretê Airport,São Gabriel da Cachoeira
SBYS,QPS,Campo Fontenelle,Pirassununga
SBZM,IZA,Presidente Itamar Franco Airport,Juiz de Fora
SD0E,,Fazenda Tangará Airport,Santana do Araguaia
SD2B,,Fazenda Santa Edwirges Airport,Santo Antônio do Leverger
SD2C,,A Tartaruga Heliport,Angra dos Reis
SD2D,,Fazenda São Mateus Airport,Nova Maringá
SD2E,,Fazenda Santa Ana Airport,Confresa
SD2F,,Fazenda Planura Airstrip,Santa Maria das Barreiras
SD2G,,Linha Becker Airstrip,Itapiranga
SD2H,,Torre Jequitibá Helipad,São Paulo
SD2I,,Estância Rancharia Aviação Airstrip,Rancharia
SD2J,,Fazenda Vale do Forquilha Airport,Cocalinho
SD2K,,Jotabasso Guiratinga Airport,Guiratinga
SD2L,,Fazenda Ágape Airstrip,Nova Lacerda
SD2M,,Fazenda do Taboado Airport,Aparecida do Taboado
SD2N,,Érico Veríssimo Airport,Cruz Alta
SD2O,,Bethaville Empresarial Itú Heliport,Itu
SD2P,,Fazenda São Gabriel Airstrip,Mateiros
SD2Q,,Fazenda Bom Jesus Airport,Bela Vista
SD2T,,Fazenda KPM Airstrip,Paranatinga
SD2U,,Portofino Rivera Villas Heliport,Aquiraz
SD2V,,Fazenda Santo Antônio Airstrip,Sorriso
SD2W,,Fazenda Aguapeí Airport,Valparaíso
SD2X,,Fazenda Santo Antônio Airstrip,Cassilândia
SD2Y,,Caminho do Lobo Airstrip,Comodoro
SD2Z,,Fazenda Recanto Airport,Comodoro
SD34,,Ita Airstrip,Correntina
SD38,,Fazenda Esteios Airstrip,Vista Alegre do Abunã
SD39,,Pista Santa Rita,Trairão
SD3A,,Fazenda São Martinho Airstrip,Sorriso
SD3B,,Fazenda Perdizes Airport,Porto dos Gaúchos
SD3C,,Thera Corporate Helipad,São Paulo
SD3E,,Fazenda Rio Madeira Airport,Rio Madeira
SD3F,,Matusa Heliport,Jijoca de Jericoacoara
SD3G,,Fazenda Verde Airport,Rondonópolis
SD3H,,Fazenda Angola Airport,Vila Rica
SD3I,,Raízen Heliport,Piracicaba
SD3J,,Fazenda Santa Pilar Airstrip,Ribas do Rio Pardo
SD3L,,Manoel Rodrigues Airstrip,Independência
SD3M,,Fazenda São Francisco Airstrip,Barra do Bugres
SD3N,,Aerounião Airstrip,Japorã
SD3P,,Fazenda Morando Airstrip,Anaurilândia
SD3Q,,Fazenda Panorama Airport,Correntina
SD3R,,Fazenda Zohar Airstrip,Vila Bela da Santíssima Trindade
SD3S,,Fazenda Brasil Airstrip,Sena Madureira
SD3T,,Trimais Center Helipad,São Paulo
SD3U,,Idilia Lurdes Zandona Bedin Airport,Sorriso
SD3V,,Fazenda Divisão Airport,Lucas do Rio Verde
SD3W,,Fazenda Rio Vermelho Airport,Comodoro
SD3Y,,Rio Louro Airstrip,Macaé
SD3Z,,Fazenda Eldorado Airport,São José do Xingu
SD4A,,Agrícola Dall Olivo Airstrip,Lagoa Vermelha
SD4C,,HELPN Anderson Franco Helipad,Ipatinga
SD4D,,Fazenda Ibicuí Airport,Alegrete
SD4E,,Fazenda Seara Airport,Jaborandi
SD4F,,Fazenda Chapadão Airstrip,Comodoro
SD4G,,Fazenda Chocolate Airstrip,Bujari
SD4I,,SAC Firearms Heliport,Itu
SD4J,,Fazenda Ouro e Prata Airport,Caracol
SD4K,,Hospital Estadual de Sorocaba Helipad,Sorocaba
SD4M,,IBR Heliport,Guaramiranga
SD4N,,Hospital de Urgência e Emergência de Rio Branco Helipad,Rio Branco
SD4O,,Fazenda Entre Rios Airstrip,Cristalina
SD4Q,,Fazenda Garrote I Heliport,Britânia
SD4S,,São Salvador Alimentos Itaberaí Heliport,Itaberaí
SD4T,,São Salvador Alimentos Nova Veneza Heliport,Nova Veneza
SD4U,,Ruaro Airport,Dourados
SD4V,,Socorro Airport,Socorro
SD4W,,Fazenda Realeza Airstrip,Campo Grande
SD4X,,Tedesco Heliport,São Jorge d'Oeste
SD4Y,,Fazenda Vista Alegre Airstrip,Ibiaí
SD4Z,,Fazenda Santo Eugênio Airstrip,Corumbá
SD6A,,Todeschini Airstrip,Cachoeira do Sul
SD6B,,Fazenda Chapadão,Peixoto de Azevedo
SD6D,,Granitos.com Heliport,Nova Araçá
SD6E,,Combate Aviação Agrícola Airstrip,Vicentinópolis
SD6F,,Hospital Estadual de São José dos Campos Helipad,São José dos Campos
SD6G,,Fazenda Esplanada Airstrip,Peixe
SD6H,,Fazenda Hill Valley Airport,São Sebastião do Caí
SD6I,,Ninho do Pássaro II Heliport,Luiz Alves
SD6J,,Fazenda Fortaleza Airstrip,Juara
SD6K,,Fazenda Guará Airstrip,Vila Bela da Santíssima Trindade
SD6L,,Fazenda Paraíso Airstrip,Ribas do Rio Pardo
SD6M,,Parque da Cidade Torre B1,São Paulo
SD6N,,Fazenda Chapadão Airport,Matupá
SD6O,,Pontal das Graças Heliport,Ribeirão Claro
SD6P,BVM,Belmonte Airport,Belmonte
SD6Q,,Parque da Cidade Torre B2 Helipad,São Paulo
SD6R,,Parque da Cidade Torre B3 Helipad,São Paulo
SD6S,,Fazenda Torre III Airsrtip,Alto Garças
SD6T,,Fazenda Santa Maria Airstrip,Campo Grande
SD6U,,Fazenda Brasnorte Airstrip,Brasnorte
SD6V,,Aeródromo Privado Fazenda Maringá III,Vila Bela da Santíssima Trindade
SD6W,,Helisai Heliport,Santo Amaro da Imperatriz
SD6X,,Malboro Airport,Boa Vista
SD6Y,,Fazenda Bom Retiro Airstrip,Boca do Acre
SD6Z,,VCM Airstrip,Guararapes
SD7B,,Fazenda Bahia Airstrip,Alenquer
SD7C,,Serrinha Airport,Palmeira
SD7E,,Fazenda Canaã Airport,Teresina
SD7F,,Fazenda Filipinas Airstrip,Epitaciolândia
SD7G,,Fazenda Leyton Airport,Nova Mutum
SD7I,,Canto Grande Heliport,Bombinhas
SD7J,,Estância Rio Branco Airport,Barra do Bugres
SD7K,,Barracuda Heliport,Itacaré
SD7L,,Fazenda Tozzo I Airstrip,Campo Novo do Parecis
SD7M,,Moinho Airport,Monte Alegre de Minas
SD7N,,Fazenda Lago Azul Airstrip,Itaporã
SD7O,,Giongo Participações - Fazenda Camila Airport,Gaúcha do Norte
SD7P,,Fazenda Terra Madre Airstrip,Barra do Ouro
SD7Q,,Fazenda Norton Airport,Tasso Fragoso
SD7R,,Refúgio das Garças Heliport.,Candeias
SD7S,,Fazenda Guatambu Airport,Novo Mundo
SD7T,,Base de Operações Aéreas da PRF Heliport,Porto Alegre
SD7V,,Ten. Brig. Ar Waldir de Vasconcelos Heliport (Moved to the airport),Rio de Janeiro
SD7X,,Fly Aviação Agrícola Airport,Ipiranga do Norte
SD7Y,,Villa Pinheiro Heliport,Piedade
SD7Z,,Fazenda Tartus Airstrip,Porto Franco
SD8A,,Agropecuária Antunes Airport,Laguna Carapã
SD8B,,Fazenda São Domingos Airport,Corumbá
SD8D,,HDG Heliport,Goiânia
SD8E,,Fazenda Três Corações Airstrip,Bannach
SD8G,,Fazenda Tambaú Airstrip,Alenquer
SD8J,,Guarujá Golf Club Heliport,Guarujá
SD8K,,Planalto da Conquista Airstrip,Planalto
SD8L,,Heliponto da Base Naval do Rio de Janeiro,Niterói
SD8M,,Fazenda Alegria - H Heliport,Vitorino Freire
SD8N,,Fazenda Nova Era Agropecuária Airstrip,Vila Bela da Santíssima Trindade
SD8O,,Berço das Gerais Airport,Matias Cardoso
SD8P,,GAPS 1 Airport,Caseara
SD8Q,,Aeroagrícola Tangará Airstrip,Orlândia
SD8R,,São José da Boa Vista I Airstrip,Brasnorte
SD8S,,Fazenda Alegria – P Airstrip,Vitorino Freire
SD8T,,Fazenda Araras Airstrip,Itaí
SD8U,,UTIDA Airstrip,Campo Novo do Parecis
SD8V,,Fazenda Campos Belos Airstrip,Araguatins
SD8W,,Fazenda Palmeiras do Guaporé Airport,Vila Bela da Santíssima Trindade
SD8X,,Canal SS Airport,Itarumã
SD8Y,,Fazenda São Pedro Airstrip,Açailândia
SD8Z,,Fazenda Tocantins Airstrip,Nova Ubiratã
SD9A,,Caputi Airport,Vilhena
SD9B,,Fazenda Planada Airport,Itaituba
SD9D,,Pista Girassol,Itaituba
SD9E,,Fazenda Curuá Airstrip,Alenquer
SD9F,,Fazenda Santa Tereza Airstrip,Sena Madureira
SD9G,,Fazenda Maria da Penha Galletti Gava Airstrip,Terra Santa
SD9H,,Fazenda Floresta Heliport,Igarapé Grande
SD9I,,Rancho Oliveira Airstrip,Novo Progresso
SD9J,,Frigorífico Nutribrás Heliport,Sorriso
SD9K,,Villa do Lago Heliport,Carmo do Cajuru
SD9L,,Aeroparque Paulo,Redenção
SD9M,,Sítio Mequéns Airstrip,Alta Floresta d'Oeste
SD9N,,Bahia Blue Heliport,Porto Seguro
SD9P,,Zo´é Airport,Óbidos
SD9Q,,Arena Fly Airport,Uberlândia
SD9R,,Fazenda Vitória Airport,Barreiras
SD9S,,Fazenda Madre Regina Airport,Barreiras
SD9T,,Dias Branco Heliport,Fortim
SD9U,,Copobras Heliport,São Ludgero
SD9V,,Fazenda Touro Morto Airport,Corumbá
SD9X,,Fazenda Aparecida Heliport,Bebedouro
SD9Y,,Noma Airstrip,São Francisco do Guaporé
SD9Z,,Fazenda Independência Airport,Vilhena
SDA1,,São Sebastião Airport,Porto de Moz
SDA2,,Attack Heliport,Lagoa Santa
SDA3,,Fazenda Serra Dourada Airport,Nova Lacerda
SDA6,,Porto Airstrip,Porto União
SDA7,,Fazenda Nossa Senhora Aparecida Airport,Lambari d'Oeste
SDA8,,Fazenda Passagem Funda Airport,Correntina
SDA9,,Tijucas do Sul Airstrip,Tijucas do Sul
SDAA,,Araras Airport,Araras
SDAC,,Aché Heliport,Guarulhos
SDAD,,Everaldo Moras Barreto Airport,Adamantina
SDAE,,São Pedro Airport,São Pedro
SDAF,,Fazenda Palmeiras Airport,Analândia
SDAG,GDR,Angra dos Reis Airport,Angra dos Reis
SDAH,,Signo Resgate Alphaville Heliport,Barueri
SDAI,,Americana Airport,Americana
SDAJ,,Fazenda Recanto Airport,Jateí
SDAK,,Solar das Paineiras Heliport,Mogi Guaçu
SDAM,,Estadual de Campos dos Amarais - Prefeito Francisco Amaral Airport,Campinas
SDAN,,Fazenda Santo Ângelo Airport,Brotas
SDAO,,Fazenda Portela Airport,São José do Rio Claro
SDAP,,Hospital Paulistano Helipad,São Paulo
SDAS,,Fazenda Santo Antônio Airport,Mirandópolis
SDAT,,Hospital e Maternidade Vitória Helipad,São Paulo
SDAU,,Fazenda Itau Airport,Água Clara
SDAW,,Banco Industrial Heliport,São Paulo
SDAX,,Bradesco - Sta Cecília Heliport,São Paulo
SDB2,,Fazenda Guarabu Airport,Araguaína
SDB3,,AFG I Airport,Vale de São Domingos
SDB4,,Fazenda Morumbi Airstrip,Bom Jesus do Araguaia
SDB6,,Dal Amargosa Heliport,Amargosa
SDB7,,Fazenda Lagoa do Guaporé II Airport,Pontes e Lacerda
SDBA,,Batatais Airport,Batatais
SDBB,,Bebedouro Airport,Bebedouro
SDBC,,Bradesco Alphaville Heliport,Barueri
SDBE,,Biopalma Airport,Moju
SDBF,,Porto Seguro Heliport,São Paulo
SDBG,,Barra Green Heliport,Rio de Janeiro
SDBH,,Bandeirantes Heliport,São Paulo
SDBI,,Fazenda Piray Airport,Sete Quedas
SDBK,,Botucatu - Tancredo de Almeida Neves Airport,Botucatu
SDBL,,BFC Heliport,São Paulo
SDBM,,Hospital Beneficência Portuguesa Heliport,São Paulo
SDBN,,Associação Recreativa Fazenda Bonanza Airport,Salto de Pirapora
SDBO,,Morada Nova Heliport,Inhaúma
SDBP,,Fazenda Pontal Airport,Santa Fé de Goiás
SDBQ,,Hospital São Mateus Helipad,Fortaleza
SDBV,,Balneário São Januário Airport,Ilha Comprida
SDBW,,Banespa República Heliport,São Paulo
SDBY,,Bariri - Aparecido O. Silva Airport,Bariri
SDC0,,Santa Maria das Barreiras Airport,Santa Maria das Barreiras
SDC2,,Fazenda Onça Preta Airstrip,Lábrea
SDC3,,Algodoeira Santa Luzia Airport,Sapezal
SDC4,,Condomínio Aeronáutico Hangar Fly Residence Airport,Petrolina
SDC6,,Fazenda Bom Destino Airstrip,Aral Moreira
SDC7,,Heliponto do Centro de Avaliação da Ilha da Marambaia (CADIM),Mangaratiba
SDCA,,Capão Bonito Airport,Capão Bonito
SDCD,,Catanduva Airport,Catanduva
SDCG,OLC,Senadora Eunice Micheles Airport,São Paulo De Olivença
SDCJ,,Fazenda São Domingos Airstrip,Alto Araguaia
SDCL,,Fazenda Campo Alegre Airport,Cerqueira César
SDCM,,Sete Povos Airport,São Desidério
SDCN,,Centro Médico Naval Marcílio Dias Heliport,Rio De Janeiro
SDCO,SOD,Sorocaba Airport,Sorocaba
SDCP,,Hotel Sant`anna Heliport,Amparo
SDCQ,,Mediterâneo Heliport,Cotia
SDCR,,Fazenda Caiçara Airport,Itanhaém
SDCS,,Veracel Heliport,Eunápolis
SDCT,,Fazenda Santo Antonio do Oriçanga Airport,Estiva Gerbi
SDCU,,Brigadeiro Francisco Pinto de Moura Airport,Casemiro de Abreu
SDCV,,Citibank Helipad,São Paulo
SDCW,,Fazenda Paloma Airport,Colômbia
SDCY,,Camargo Corrêa Heliport,São Paulo
SDCZ,,Fazenda Bom Jardim Airport,Mangaratiba
SDD2,,Dolce Vita Praia Morro de São Paulo Heliport,Cairu
SDD3,,Fazenda Tangará Airport,Ribeirão Cascalheira
SDD4,,Fazenda Pérola Airport,São Desidério
SDD6,,Fazenda Nova Aliança Udo Kudiess e Filhos Airport,Uruçuí
SDD9,,Pista São Bento,Itaituba
SDDB,,Paradiso Agropecuária Airport,Campos Novos Paulista
SDDD,,Fazenda São Francisco Airport,Corumbá
SDDE,,Fazenda Dois Irmãos Airport,Manicoré
SDDG,,Hospital Samaritano Heliport,São Paulo
SDDH,,Birmann 29 Heliport,São Paulo
SDDI,,Fazenda Tamara Airport,Salmourão
SDDJ,,Fazenda Santa Maria Airport,Monções
SDDK,,Saint-Exupéry Airport,Ocauçu
SDDN,,Andradina Airport,Andradina
SDDO,,Cândido Mendes Helipad,Rio de Janeiro
SDDQ,,Fazenda São Francisco Airport,Riachão das Neves
SDDR,,Dracena Airport,Dracena
SDDT,,Imbetiba Heliport,Macaé
SDDV,,Usina Catanduva Airport,Palmares Paulista
SDDX,,Fazenda Paiquerê Airport,Populina
SDDY,,Cesari Heliport,Cubatão
SDDZ,,Vila São Paulo/Mercosul Heliport,Alvorada do Sul
SDE1,,Fazenda Santa Luzia Airport,São Félix do Xingu
SDE3,,Localiza BH Helipad,Belo Horizonte
SDE6,,Fazenda ITK Agro Airport,Alegrete
SDE8,,Hospital Cinco de Outubro Heliport,Canaã dos Carajás
SDE9,,Fazenda ACF Heliport,Extrema
SDEA,,Edifício HSBC Tower Heliport,São Paulo
SDED,,Scoda Aeronáutica Airport,Ipeúna
SDEH,,Fazenda Santo Antônio Heliport,Araras
SDEI,,Canopus Corporate Alphaville Heliport,Barueri
SDEJ,,Fazenda Guará do Pinhal Airport,Itapetininga
SDEK,,Barra do Una Heliport,São Sebastião
SDEL,,Condomínio Spázio Central JK Heliport,São Paulo
SDEM,,Estância Machado Airport,Álvares Machado
SDEN,,Costa Esmeralda Airport,Porto Belo
SDEO,,Fazenda Entre Rios Airport,Ibitinga
SDEP,,Geraldo Moacir Bordon State Airport,Presidente Epitácio
SDEQ,,Vigor Helipad,São Paulo
SDER,,Fazenda Entre Rios Airport,Sud Menucci
SDES,,Estância Colorado Airport,Sales de Oliveira
SDET,,Tietê Airport,Tietê
SDEU,,Empresarial Anhanguera Heliport,Cajamar
SDEW,,Júlio Simões – Garagem Heliport,Moji das Cruzes
SDEX,,Fazenda Nossa Senhora do Carmo Airstrip,São Desidério
SDEY,,Imigrantes Heliport,Diadema
SDEZ,,Unibanco Eusébio Matoso Helipad,São Paulo
SDF0,,Fazenda Vedana Airport,Vera
SDF2,,Mãe Nina Airstrip,Itaquiraí
SDF3,,Fazenda Santa Helena Airport,Itiquira
SDF4,,Agropecuária VR Airport,Campo Novo do Parecis
SDF6,,Décio Uberlândia Heliport,Uberlândia
SDF7,,Clube Aeronáutico Avaré Airport,Avaré
SDF9,,Aviação Agrícola Manain Airport,Boa Vista
SDFC,,Fazenda Constância Airport,Altair
SDFD,,Fernandópolis - Coronel Aviador Carlos Orleans Guimarães Airport,Fernandópolis
SDFH,,Fazenda Amália Airport,Santa Rosa Do Viterbo
SDFJ,,Fazenda Murungaba Heliport,Tietê
SDFK,,Fazenda Figueira Airport,Marabá Paulista
SDFL,,Fazenda Santa Albana Airport,Itapetininga
SDFN,,Fazenda São Francisco Airport,Fartura
SDFO,,Centro Gráfico - Folha Heliport,Santana do Parnaíba
SDFP,,Folha de São Paulo Heliport,São Paulo
SDFQ,,Centro Empresarial Botafogo Heliport,Rio De Janeiro
SDFR,,Riomar Fortaleza Heliport,Fortaleza
SDFS,,Fazenda Santa Gertrudes Heliport,Dourado
SDFT,,Virgulino de Oliveira Airport,Itapira
SDFU,,Fazenda Ponte Funda Airport,Presidente Eptácio
SDFV,,Federação Paulista de Futevol Helipad,São Paulo
SDFW,,Condomínio Edifício San Paolo Helipad,São Paulo
SDFX,,Casa Nova Airport,Casa Nova
SDG3,,Fazenda Malanda Airport,Brasnorte
SDG4,,1° Esquadrão de Helicópteros de Emprego Geral do Oeste Heliport,Ladário
SDG6,,Centro Tecnológico da Marinha em São Paulo – ARAMAR Heliport,Sorocaba
SDG7,,Base de Fuzileiros Navais da Ilha do Governador Heliport,Rio de Janeiro
SDG8,,Base Naval de Natal Heliport,Natal
SDG9,,Delegacia da Capitania dos Portos em São Sebastião Heliport,São Sebastião
SDGA,,Acapulco Heliport,Guarujá
SDGB,,Usina Colorado Airport,Guaíra
SDGC,,Garça Airport,Garça
SDGD,,Eucatex Heliport,Botucatu
SDGE,,Casas Bahia Heliport,São Caetano do Sul
SDGG,,Aché Faria Lima Helipad,São Paulo
SDGH,,Parque do Peão Mussa Calil Neto Heliport,Barretos
SDGI,,Fazenda Guariroba Heliport,Campinas
SDGJ,,Fazenda Suíssa Airport,Guaimbê
SDGK,,Fazenda Gurucaia Airport,Guararapes
SDGL,,Catedral Mundial da Fé Helipad,Rio de Janeiro
SDGN,,Empresarial Pontes Corporate Center Heliport,Recife
SDGO,,Braspress Heliport,Guarulhos
SDGS,,Bertolucci Helipad,São Paulo
SDGW,,JKFC Heliport,São Paulo
SDGY,,Fazenda Anhangaí Airport,Araçatuba
SDGZ,,Bradesco Cidade de Deus Heliport,Osasco
SDH2,,Porto Alegre do Norte Airport,Porto Alegre do Norte
SDH3,,Fazenda São Jorge Airport,Itiquira
SDH6,,Giongo Participações - Fazenda Victória,Paranatinga
SDH7,,Base Naval de Aratu Heliport,Candeias
SDH8,,Área de Apoio Administrativo de Fuzileiros Navais em Itaóca Heliport,Itapemirim
SDH9,,BR Marinas Paraty Heliport,Paraty
SDHA,,HELPN HASP Heliport,São Paulo
SDHB,,Bradesco Heliport,Osasco
SDHC,,Fazenda Koga Airport,Getulina
SDHD,,Complexo Hospitalar de Niterói Helipad,Niterói
SDHE,,Fazenda Herdade Airport,Itapira
SDHF,,Ambroso Heliport,São João da Boa Vista
SDHG,,Málaga Heliport,Osasco
SDHI,,Hospital Gastroclínica Helipad,São Paulo
SDHJ,,Hospital da Polícia Militar Heliport,São Paulo
SDHL,,Lagoa Heliport,Rio de Janeiro
SDHN,,REC Berrini TNU  Heliport,São Paulo
SDHO,,Bradesco - Santo André Heliport,Santo André
SDHP,,Modelo II Airport,Ribas do Rio Pardo
SDHQ,,Shopping Leste Aricanduva Heliport,São Paulo
SDHR,,Fazenda União Airport,Porto Murtinho
SDHT,,Cetenco Plaza - Torre Norte Heliport,São Paulo
SDHU,,Morro da Urca Heliport,Rio de Janeiro
SDHV,,Hospital Albert Einstein Helipad,São Paulo
SDHW,,Hospital Bandeirantes Helipad,São Paulo
SDHX,,D'Tapes Airport,Tapes
SDHY,,Edifício São Gonzaga Heliport,São Paulo
SDHZ,,Hospital Vera Cruz Heliport,Campinas
SDI2,,Graciosa Airport,São Desidério
SDI4,,Fazenda Amadeus Andrade Airport,Mirante da Serra
SDI6,,Ilha Paraíso Heliport,Santa Cruz Cabrália
SDI7,,Fazenda Veneza Airport,Aquidauana
SDI8,,Fazenda Cristo Rei Airport,Santana do Araguaia
SDI9,,Fazenda Filipina Airstrip,Santa Cruz do Xingu
SDIB,,Irmãos Ribeiro Airport,Espírito Santo Do Pinhal
SDIC,,Fazenda Capão Seco Airport,Formiga
SDIF,,Palácio Tiradentes Helipad,Belo Horizonte
SDIG,,Ibitinga Airport,Ibitinga
SDIH,,Fazenda Irohy Airport,Biritiba-Mirim
SDII,,I Tower Helipad,Barueri
SDIK,,Alpha Business Empresarial Helipad,Campinas
SDIL,,Fazenda Pedra Branca Airport,Angra dos Reis
SDIM,JTN,Itanhaém Airport,Itanhaém
SDIO,,Aeroclube de Itápolis Airport,Itápolis
SDIP,,Fazenda Centro de Vôo a Vela Ipuã Airport,Caçapava
SDIQ,,Goettems Heliport,Angra Dos Reis
SDIS,,The Eagle's Nest Heliport,Arandu
SDIT,,Itaú NPD Paulista Heliport,São Paulo
SDIV,,Ituverava Airport,Ituverava
SDIW,,Edifício São Paulo Trade Building Heliport,São Paulo
SDIX,,Iporanga - Guarujá Heliport,Guarujá
SDIY,FEC,João Durval Carneiro Airport,Feira de Santana
SDJ2,,Aero Agrícola Céu Azul Airport,Vilhena
SDJ3,,Fazenda Santa Rita Airport,Rio Maria
SDJ6,,Cambury Heliport,São Sebastião
SDJ7,,Fazenda Poço d'Água Airport,Amarante
SDJ8,,Fazenda Barra Longa Airstrip,Botucatu
SDJ9,,Fazenda Triângulo Airport,Sapucaia
SDJA,,Doutor José Augusto de Arruda Botelho Airport,Itirapina
SDJB,,Quinta da Baroneza II Heliport,Bragança Paulista
SDJC,,Jaboticabal Airport,Jaboticabal
SDJD,,Juquehy Baleia Heliport,São Sebastião
SDJF,,Fazenda Jequitibá Airport,Buri
SDJH,,Norberto Odebrecht Helipad,Salvador
SDJI,,Avibrás II Heliport,Jacareí
SDJJ,,Francisco Mellão Heliport,São Paulo
SDJK,,Centro Empresarial Araguaia Helipad,Barueri
SDJL,JLS,Jales Airport,Jales
SDJM,,Sítio Santo Antônio Heliport,Jundiaí
SDJN,,Fazenda São Luiz Airport,Jardinópolis
SDJO,,São Joaquim da Barra Airport,São Joaquim Da Barra
SDJP,,Helicentro Carcará Heliport,Nova Iguaçu
SDJQ,,Fazenda São Joaquim O.B. Airport,Pereira Barreto
SDJS,,Andorinha Airport,Uiramutã
SDJT,,J. Toledo Helipad,Jundiaí
SDJU,,Hospital São Luiz Helipad,São Paulo
SDJV,,São João da Boa Vista Municipal Airport,São João da Boa Vista
SDJW,,Rede D'Or São Luiz Morumbi Heliport,São Paulo
SDJX,,Fazenda Serra Dourada Airport,Palmeirópolis
SDJZ,,Fazenda Barra do Agudo Airport,Morro Agudo
SDK2,,Aldeia Apalai Bona Airstrip,Almeirim
SDK3,,Fazenda Oeste Airstrip,Comodoro
SDK6,,Fazenda Sossego Airport,Morada Nova
SDK7,,Nova Andradina Municipal Airport,Nova Andradina
SDK8,,Fazenda Baú Airstrip,Cáceres
SDK9,,Fazenda Califórnia Airport,Brasilândia
SDKA,,Angical Airport,Normandia
SDKB,,Casa Branca Municipal Airport,Casa Branca
SDKD,,Condomínio América Business Park Heliport,São Paulo
SDKG,,Fazenda Gávea Airport,Cerqueira César
SDKI,,CL Helipad,São José dos Campos
SDKJ,,Formosa do Rio Preto Airport,Formosa do Rio Preto
SDKK,,Mococa Airport,Mococa
SDKL,,Caracaranã Airport,Normandia
SDKM,,Hotel Emiliano Heliport,São Paulo
SDKO,,Fazenda Campo Grande Airport,Colômbia
SDKP,,Fazenda Jamaica Airport,Pompéia
SDKQ,,Fazenda São João Airport,Guaraci
SDKT,,Edifício Dacon Heliport,São Paulo
SDKV,,Rede Globo Heliport,São Paulo
SDKW,,Fazenda Sodema Airport,Vera
SDKX,,Fazenda Agrovás Airport,São Félix do Araguaia
SDKY,,Hospital das Clínicas Heliport,São Paulo
SDKZ,,Caraparu 4 Airport,Uiramutã
SDL0,,Fazenda Ibicaba Airport,Marcelândia
SDL2,,Fazenda São José Airport,Santa Carmem
SDL3,,Agropecuária Império Airport,Cassilândia
SDL6,,Reunidas do Pontal Airport,Goiatuba
SDL7,,Águias de Trindade,Trindade
SDL8,,Lagoa da Serra Airport,Cocalinho
SDL9,,Fazenda Gobbo Airport,Santo Antônio do Leverger
SDLA,,Condomínio Laranjeiras Heliport,Parati
